datetime,Tb,Act,mouse_id,source_file,Tb_slope,Tb_diff,HR_ratio,hour_sin,hour_cos,torpor_prob
2025-09-30 09:11:30,38.1,36.8739733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,0.0,0.27886932344763693,1.0,-0.6723668074346679,0.7402181274868322,1.0000000994736041e-07
2025-09-30 09:11:30,38.0,37.3389733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.10000000000000142,0.1788693234476355,1.0,-0.6723668074346679,0.7402181274868322,0.0004181257499168709
2025-09-30 09:11:30,37.2,37.2229467663322,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.4499999999999993,-0.6211306765523616,1.0,-0.6723668074346679,0.7402181274868322,0.9034944403438204
2025-09-30 09:11:30,38.0,68.4356558259513,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.033333333333333805,0.1788693234476355,1.0,-0.6723668074346679,0.7402181274868322,1.0000000994736041e-07
2025-09-30 09:12:30,37.9,46.8767033709734,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.05000000000000071,0.07886932344763409,1.0,-0.6691306063588583,0.7431448254773941,1.0000000994736041e-07
2025-09-30 09:12:30,38.0,24.6989733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.020000000000000285,0.1788693234476355,1.0,-0.6691306063588583,0.7431448254773941,1.0000000994736041e-07
2025-09-30 09:12:30,38.1,40.0339733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,0.0,0.27886932344763693,1.0,-0.6691306063588583,0.7431448254773941,1.0000000994736041e-07
2025-09-30 09:12:30,37.2,33.8519201494983,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.12857142857142836,-0.6211306765523616,1.0,-0.6691306063588583,0.7431448254773941,0.15844970745634704
2025-09-30 09:13:30,38.3,38.7339733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,0.024999999999999467,0.47886932344763267,1.0,-0.6658816660008342,0.7460573750616996,1.0000000994736041e-07
2025-09-30 09:13:30,37.3,51.4388402989966,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.08888888888888936,-0.5211306765523673,1.0,-0.6658816660008342,0.7460573750616996,0.00035845474359483997
2025-09-30 09:13:30,38.0,31.4839733831661,nan,20250930_A-batch SYNTHETIC TORPOR.xlsx,-0.010000000000000142,0.1788693234476355,1.0,-0.6658816660008342,0.7460573750616996,1.0000000994736041e-07
